,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg)
2021-04-30,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12650.0,33100.0,33100.0,30200.0,30200.0,40150.0,42950.0,39250.0,55000.0,46850.0,63850.0
2021-05-01,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12666.666666666666,33050.0,33050.0,30183.333333333332,30183.333333333332,40066.666666666664,42866.666666666664,39233.333333333336,54633.333333333336,46483.333333333336,63650.0
2021-05-02,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12683.333333333334,33000.0,33000.0,30166.666666666668,30166.666666666668,39983.333333333336,42783.333333333336,39216.666666666664,54266.666666666664,46116.666666666664,63450.0
2021-05-03,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12700.0,32950.0,32950.0,30150.0,30150.0,39900.0,42700.0,39200.0,53900.0,45750.0,63250.0
2021-05-04,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12700.0,33050.0,33050.0,30200.0,30200.0,40150.0,42300.0,40000.0,54800.0,45450.0,65200.0
2021-05-05,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12650.0,33150.0,33150.0,30300.0,30300.0,40300.0,42750.0,39900.0,55400.0,45950.0,66000.0
2021-05-06,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12700.0,33100.0,33100.0,30250.0,30250.0,40950.0,43200.0,40450.0,55550.0,45950.0,66150.0
2021-05-07,11750.0,10750.0,10400.0,11800.0,11550.0,13050.0,12700.0,33200.0,33200.0,30300.0,30300.0,41100.0,43400.0,40650.0,55750.0,46300.0,66300.0
2021-05-08,11750.0,10733.333333333334,10400.0,11783.333333333334,11550.0,13050.0,12683.333333333334,33350.0,33350.0,30350.0,30350.0,43233.333333333336,45783.333333333336,42566.666666666664,57100.0,46733.333333333336,68466.66666666667
2021-05-09,11750.0,10716.666666666666,10400.0,11766.666666666666,11550.0,13050.0,12666.666666666666,33500.0,33500.0,30400.0,30400.0,45366.666666666664,48166.666666666664,44483.333333333336,58450.0,47166.666666666664,70633.33333333333
2021-05-10,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33650.0,33650.0,30450.0,30450.0,47500.0,50550.0,46400.0,59800.0,47600.0,72800.0
2021-05-11,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33800.0,33800.0,30650.0,30650.0,48500.0,52300.0,47050.0,62400.0,48900.0,77000.0
2021-05-12,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33733.333333333336,33733.333333333336,30625.0,30625.0,47975.0,51741.666666666664,46466.666666666664,61833.333333333336,48708.333333333336,75941.66666666667
2021-05-13,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33666.666666666664,33666.666666666664,30600.0,30600.0,47450.0,51183.333333333336,45883.333333333336,61266.666666666664,48516.666666666664,74883.33333333333
2021-05-14,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33600.0,33600.0,30575.0,30575.0,46925.0,50625.0,45300.0,60700.0,48325.0,73825.0
2021-05-15,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33533.333333333336,33533.333333333336,30550.0,30550.0,46400.0,50066.666666666664,44716.666666666664,60133.333333333336,48133.333333333336,72766.66666666667
2021-05-16,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33466.666666666664,33466.666666666664,30525.0,30525.0,45875.0,49508.333333333336,44133.333333333336,59566.666666666664,47941.666666666664,71708.33333333333
2021-05-17,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33400.0,33400.0,30500.0,30500.0,45350.0,48950.0,43550.0,59000.0,47750.0,70650.0
2021-05-18,11750.0,10700.0,10400.0,11750.0,11550.0,13050.0,12650.0,33300.0,33300.0,30450.0,30450.0,43500.0,46100.0,42500.0,57950.0,46950.0,68900.0
2021-05-19,11750.0,10750.0,10400.0,11800.0,11550.0,13100.0,12650.0,33400.0,33400.0,30500.0,30500.0,42000.0,44850.0,40850.0,56000.0,46350.0,65700.0
2021-05-20,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33350.0,33350.0,30450.0,30450.0,40450.0,43400.0,39400.0,53950.0,45300.0,62950.0
2021-05-21,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33350.0,33350.0,30450.0,30450.0,39500.0,42450.0,38400.0,51650.0,43500.0,60300.0
2021-05-22,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33266.666666666664,33266.666666666664,30450.0,30450.0,38733.333333333336,41683.333333333336,37600.0,51016.666666666664,43033.333333333336,59433.333333333336
2021-05-23,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33183.333333333336,33183.333333333336,30450.0,30450.0,37966.666666666664,40916.666666666664,36800.0,50383.333333333336,42566.666666666664,58566.666666666664
2021-05-24,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33100.0,33100.0,30450.0,30450.0,37200.0,40150.0,36000.0,49750.0,42100.0,57700.0
2021-05-25,11750.0,10700.0,10400.0,11800.0,11550.0,13050.0,12650.0,33000.0,33000.0,30400.0,30400.0,36850.0,39600.0,35600.0,49100.0,41450.0,57000.0
2021-05-26,11750.0,10700.0,10400.0,11800.0,11550.0,13075.0,12675.0,33100.0,33100.0,30525.0,30525.0,36525.0,39450.0,35250.0,48875.0,41400.0,56550.0
2021-05-27,11750.0,10700.0,10400.0,11800.0,11550.0,13100.0,12700.0,33200.0,33200.0,30650.0,30650.0,36200.0,39300.0,34900.0,48650.0,41350.0,56100.0
2021-05-28,11750.0,10700.0,10350.0,11800.0,11550.0,13050.0,12650.0,32850.0,32850.0,30400.0,30400.0,35350.0,38250.0,34350.0,47450.0,40400.0,54350.0
