Tanggal,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg)
2017-07-31,11200.0,10150.0,9650.0,11250.0,11150.0,12750.0,12250.0,33500.0,33500.0,33450.0,33450.0,31700.0,32050.0,31400.0,41600.0,34750.0,48700.0
2017-08-01,11200.0,10150.0,9650.0,11250.0,11150.0,12750.0,12250.0,33200.0,33200.0,33350.0,33350.0,32000.0,32250.0,31500.0,41050.0,34800.0,47550.0
2017-08-02,11200.0,10150.0,9650.0,11250.0,11150.0,12750.0,12250.0,32950.0,32950.0,33150.0,33150.0,32200.0,32700.0,31800.0,40600.0,34600.0,46650.0
2017-08-03,11200.0,10150.0,9650.0,11250.0,11150.0,12700.0,12250.0,32650.0,32650.0,33150.0,33150.0,32400.0,33050.0,31850.0,40350.0,34650.0,46050.0
2017-08-04,11300.0,10150.0,10300.0,11250.0,11150.0,12750.0,12250.0,32150.0,32150.0,33000.0,33000.0,32250.0,33150.0,31550.0,40500.0,34600.0,46550.0
2017-08-05,11266.666666666666,10150.0,10083.333333333334,11250.0,11150.0,12750.0,12250.0,31850.0,31850.0,32800.0,32800.0,32266.666666666668,33100.0,31566.666666666668,40166.666666666664,34500.0,46000.0
2017-08-06,11233.333333333334,10150.0,9866.666666666666,11250.0,11150.0,12750.0,12250.0,31550.0,31550.0,32600.0,32600.0,32283.333333333332,33050.0,31583.333333333332,39833.333333333336,34400.0,45450.0
2017-08-07,11200.0,10150.0,9650.0,11250.0,11150.0,12750.0,12250.0,31250.0,31250.0,32400.0,32400.0,32300.0,33000.0,31600.0,39500.0,34300.0,44900.0
2017-08-08,11200.0,10150.0,9650.0,11200.0,11100.0,12750.0,12250.0,31100.0,31100.0,31750.0,31750.0,32200.0,33050.0,31450.0,39050.0,33900.0,44400.0
2017-08-09,11200.0,10150.0,9650.0,11250.0,11150.0,12750.0,12250.0,30850.0,30850.0,31650.0,31650.0,31950.0,32800.0,31200.0,38050.0,33100.0,43000.0
2017-08-10,11200.0,10150.0,9650.0,11250.0,11150.0,12700.0,12250.0,30550.0,30550.0,31550.0,31550.0,31800.0,32600.0,31000.0,37750.0,33050.0,42500.0
2017-08-11,11250.0,10200.0,9700.0,11300.0,11200.0,12750.0,12300.0,30450.0,30450.0,31550.0,31550.0,32300.0,33000.0,31600.0,37500.0,33350.0,41750.0
2017-08-12,11216.666666666666,10183.333333333334,9683.333333333334,11266.666666666666,11166.666666666666,12716.666666666666,12266.666666666666,30233.333333333332,30233.333333333332,31433.333333333332,31433.333333333332,31933.333333333332,32683.333333333332,31183.333333333332,36750.0,32766.666666666668,40866.666666666664
2017-08-13,11183.333333333334,10166.666666666666,9666.666666666666,11233.333333333334,11133.333333333334,12683.333333333334,12233.333333333334,30016.666666666668,30016.666666666668,31316.666666666668,31316.666666666668,31566.666666666668,32366.666666666668,30766.666666666668,36000.0,32183.333333333332,39983.333333333336
2017-08-14,11150.0,10150.0,9650.0,11200.0,11100.0,12650.0,12200.0,29800.0,29800.0,31200.0,31200.0,31200.0,32050.0,30350.0,35250.0,31600.0,39100.0
2017-08-15,11200.0,10100.0,9650.0,11200.0,11150.0,12700.0,12250.0,29850.0,29850.0,30950.0,30950.0,31800.0,32800.0,31200.0,36100.0,32700.0,39900.0
2017-08-16,11250.0,10150.0,9700.0,11300.0,11150.0,12800.0,12250.0,30100.0,30100.0,31050.0,31050.0,31700.0,33300.0,30600.0,35700.0,33000.0,39150.0
2017-08-17,11250.0,10150.0,9700.0,11275.0,11150.0,12750.0,12275.0,30025.0,30025.0,30900.0,30900.0,31650.0,33250.0,30525.0,35625.0,32650.0,39275.0
2017-08-18,11250.0,10150.0,9700.0,11250.0,11150.0,12700.0,12300.0,29950.0,29950.0,30750.0,30750.0,31600.0,33200.0,30450.0,35550.0,32300.0,39400.0
2017-08-19,11233.333333333334,10133.333333333334,9666.666666666666,11233.333333333334,11150.0,12716.666666666666,12283.333333333334,29550.0,29550.0,30350.0,30350.0,31700.0,33216.666666666664,30600.0,35400.0,32200.0,39033.333333333336
2017-08-20,11216.666666666666,10116.666666666666,9633.333333333334,11216.666666666666,11150.0,12733.333333333334,12266.666666666666,29150.0,29150.0,29950.0,29950.0,31800.0,33233.333333333336,30750.0,35250.0,32100.0,38666.666666666664
2017-08-21,11200.0,10100.0,9600.0,11200.0,11150.0,12750.0,12250.0,28750.0,28750.0,29550.0,29550.0,31900.0,33250.0,30900.0,35100.0,32000.0,38300.0
2017-08-22,11200.0,10100.0,9700.0,11200.0,11150.0,12750.0,12250.0,28700.0,28700.0,29450.0,29450.0,32050.0,33700.0,30750.0,35050.0,32150.0,38000.0
2017-08-23,11250.0,10150.0,9700.0,11250.0,11150.0,12800.0,12250.0,28950.0,28950.0,29650.0,29650.0,31650.0,33200.0,30500.0,34900.0,32950.0,37150.0
2017-08-24,11250.0,10200.0,9800.0,11250.0,11200.0,12700.0,12250.0,28850.0,28850.0,29600.0,29600.0,31600.0,33200.0,30250.0,33850.0,32050.0,35600.0
2017-08-25,11250.0,10150.0,9700.0,11300.0,11150.0,12800.0,12250.0,28750.0,28750.0,29250.0,29250.0,31200.0,32950.0,29950.0,34050.0,32050.0,36050.0
2017-08-26,11250.0,10150.0,9716.666666666666,11283.333333333334,11166.666666666666,12783.333333333334,12250.0,28666.666666666668,28666.666666666668,29216.666666666668,29216.666666666668,31416.666666666668,33166.666666666664,30116.666666666668,33916.666666666664,32000.0,35933.333333333336
2017-08-27,11250.0,10150.0,9733.333333333334,11266.666666666666,11183.333333333334,12766.666666666666,12250.0,28583.333333333332,28583.333333333332,29183.333333333332,29183.333333333332,31633.333333333332,33383.333333333336,30283.333333333332,33783.333333333336,31950.0,35816.666666666664
2017-08-28,11250.0,10150.0,9750.0,11250.0,11200.0,12750.0,12250.0,28500.0,28500.0,29150.0,29150.0,31850.0,33600.0,30450.0,33650.0,31900.0,35700.0
2017-08-29,11250.0,10100.0,9750.0,11250.0,11150.0,12750.0,12250.0,28450.0,28450.0,29200.0,29200.0,32450.0,34150.0,31100.0,34300.0,32500.0,36450.0
2017-08-30,11250.0,10100.0,9750.0,11250.0,11150.0,12700.0,12250.0,28400.0,28400.0,29200.0,29200.0,33800.0,36000.0,32200.0,34300.0,32600.0,36400.0
2017-08-31,11250.0,10100.0,9750.0,11250.0,11150.0,12700.0,12250.0,28500.0,28500.0,29200.0,29200.0,35000.0,37350.0,33600.0,35000.0,33100.0,37300.0
2017-09-01,11250.0,10112.5,9750.0,11262.5,11162.5,12712.5,12250.0,28450.0,28450.0,29137.5,29137.5,35087.5,37287.5,33725.0,34975.0,33175.0,37112.5
2017-09-02,11250.0,10125.0,9750.0,11275.0,11175.0,12725.0,12250.0,28400.0,28400.0,29075.0,29075.0,35175.0,37225.0,33850.0,34950.0,33250.0,36925.0
2017-09-03,11250.0,10137.5,9750.0,11287.5,11187.5,12737.5,12250.0,28350.0,28350.0,29012.5,29012.5,35262.5,37162.5,33975.0,34925.0,33325.0,36737.5
2017-09-04,11250.0,10150.0,9750.0,11300.0,11200.0,12750.0,12250.0,28300.0,28300.0,28950.0,28950.0,35350.0,37100.0,34100.0,34900.0,33400.0,36550.0
2017-09-05,11300.0,10200.0,9750.0,11300.0,11200.0,12950.0,12250.0,28000.0,28000.0,28750.0,28750.0,34150.0,35550.0,33150.0,34650.0,33200.0,36300.0
2017-09-06,11200.0,10100.0,9700.0,11250.0,11100.0,12650.0,12200.0,28200.0,28200.0,28850.0,28850.0,33200.0,34400.0,32650.0,34350.0,33300.0,35650.0
