Tanggal,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg)
30/04/2021,11750,10750,10400,11800,11550,13050,12650,33100,33100,30200,30200,40150,42950,39250,55000,46850,63850
03/05/2021,11750,10750,10400,11800,11550,13050,12700,32950,32950,30150,30150,39900,42700,39200,53900,45750,63250
04/05/2021,11750,10750,10400,11800,11550,13050,12700,33050,33050,30200,30200,40150,42300,40000,54800,45450,65200
05/05/2021,11750,10750,10400,11800,11550,13050,12650,33150,33150,30300,30300,40300,42750,39900,55400,45950,66000
06/05/2021,11750,10750,10400,11800,11550,13050,12700,33100,33100,30250,30250,40950,43200,40450,55550,45950,66150
07/05/2021,11750,10750,10400,11800,11550,13050,12700,33200,33200,30300,30300,41100,43400,40650,55750,46300,66300
10/05/2021,11750,10700,10400,11750,11550,13050,12650,33650,33650,30450,30450,47500,50550,46400,59800,47600,72800
11/05/2021,11750,10700,10400,11750,11550,13050,12650,33800,33800,30650,30650,48500,52300,47050,62400,48900,77000
17/05/2021,11750,10700,10400,11750,11550,13050,12650,33400,33400,30500,30500,45350,48950,43550,59000,47750,70650
18/05/2021,11750,10700,10400,11750,11550,13050,12650,33300,33300,30450,30450,43500,46100,42500,57950,46950,68900
19/05/2021,11750,10750,10400,11800,11550,13100,12650,33400,33400,30500,30500,42000,44850,40850,56000,46350,65700
20/05/2021,11750,10700,10400,11800,11550,13050,12650,33350,33350,30450,30450,40450,43400,39400,53950,45300,62950
21/05/2021,11750,10700,10400,11800,11550,13050,12650,33350,33350,30450,30450,39500,42450,38400,51650,43500,60300
24/05/2021,11750,10700,10400,11800,11550,13050,12650,33100,33100,30450,30450,37200,40150,36000,49750,42100,57700
25/05/2021,11750,10700,10400,11800,11550,13050,12650,33000,33000,30400,30400,36850,39600,35600,49100,41450,57000
27/05/2021,11750,10700,10400,11800,11550,13100,12700,33200,33200,30650,30650,36200,39300,34900,48650,41350,56100
28/05/2021,11750,10700,10350,11800,11550,13050,12650,32850,32850,30400,30400,35350,38250,34350,47450,40400,54350
