Tanggal,Beras,Beras Kualitas Bawah I (kg),Beras Kualitas Bawah II (kg),Beras Kualitas Medium I (kg),Beras Kualitas Medium II (kg),Beras Kualitas Super I (kg),Beras Kualitas Super II (kg),Bawang Merah,Bawang Merah Ukuran Sedang (kg),Bawang Putih,Bawang Putih Ukuran Sedang (kg),Cabai Merah,Cabai Merah Besar (kg),Cabai Merah Keriting  (kg),Cabai Rawit,Cabai Rawit Hijau (kg),Cabai Rawit Merah (kg)
31/07/2017,11200,10150,9650,11250,11150,12750,12250,33500,33500,33450,33450,31700,32050,31400,41600,34750,48700
01/08/2017,11200,10150,9650,11250,11150,12750,12250,33200,33200,33350,33350,32000,32250,31500,41050,34800,47550
02/08/2017,11200,10150,9650,11250,11150,12750,12250,32950,32950,33150,33150,32200,32700,31800,40600,34600,46650
03/08/2017,11200,10150,9650,11250,11150,12700,12250,32650,32650,33150,33150,32400,33050,31850,40350,34650,46050
04/08/2017,11300,10150,10300,11250,11150,12750,12250,32150,32150,33000,33000,32250,33150,31550,40500,34600,46550
07/08/2017,11200,10150,9650,11250,11150,12750,12250,31250,31250,32400,32400,32300,33000,31600,39500,34300,44900
08/08/2017,11200,10150,9650,11200,11100,12750,12250,31100,31100,31750,31750,32200,33050,31450,39050,33900,44400
09/08/2017,11200,10150,9650,11250,11150,12750,12250,30850,30850,31650,31650,31950,32800,31200,38050,33100,43000
10/08/2017,11200,10150,9650,11250,11150,12700,12250,30550,30550,31550,31550,31800,32600,31000,37750,33050,42500
11/08/2017,11250,10200,9700,11300,11200,12750,12300,30450,30450,31550,31550,32300,33000,31600,37500,33350,41750
14/08/2017,11150,10150,9650,11200,11100,12650,12200,29800,29800,31200,31200,31200,32050,30350,35250,31600,39100
15/08/2017,11200,10100,9650,11200,11150,12700,12250,29850,29850,30950,30950,31800,32800,31200,36100,32700,39900
16/08/2017,11250,10150,9700,11300,11150,12800,12250,30100,30100,31050,31050,31700,33300,30600,35700,33000,39150
18/08/2017,11250,10150,9700,11250,11150,12700,12300,29950,29950,30750,30750,31600,33200,30450,35550,32300,39400
21/08/2017,11200,10100,9600,11200,11150,12750,12250,28750,28750,29550,29550,31900,33250,30900,35100,32000,38300
22/08/2017,11200,10100,9700,11200,11150,12750,12250,28700,28700,29450,29450,32050,33700,30750,35050,32150,38000
23/08/2017,11250,10150,9700,11250,11150,12800,12250,28950,28950,29650,29650,31650,33200,30500,34900,32950,37150
24/08/2017,11250,10200,9800,11250,11200,12700,12250,28850,28850,29600,29600,31600,33200,30250,33850,32050,35600
25/08/2017,11250,10150,9700,11300,11150,12800,12250,28750,28750,29250,29250,31200,32950,29950,34050,32050,36050
28/08/2017,11250,10150,9750,11250,11200,12750,12250,28500,28500,29150,29150,31850,33600,30450,33650,31900,35700
